skill,rollouts,dx_mean,dx_std,steps_mean,steps_min,steps_max
0,5,0.254,0.024,1000.0,1000,1000
1,5,0.754,0.619,321.2,191,412
2,5,0.923,0.840,863.2,324,1000
3,5,0.115,0.002,27.4,27,28
4,5,1.522,0.168,258.4,158,397
5,5,0.278,0.008,1000.0,1000,1000
6,5,-0.021,0.014,1000.0,1000,1000
7,5,3.351,0.543,925.0,625,1000
8,5,5.597,2.597,825.2,126,1000
9,5,-3.333,1.117,862.6,313,1000
10,5,-0.091,0.012,1000.0,1000,1000
11,5,0.116,0.086,811.8,59,1000
12,5,0.054,0.024,119.6,88,227
13,5,1.058,0.997,95.8,46,185
14,5,0.191,0.005,1000.0,1000,1000
15,5,0.341,0.317,534.6,178,1000
16,5,-0.055,0.018,1000.0,1000,1000
17,5,2.910,1.039,1000.0,1000,1000
18,5,2.987,0.745,1000.0,1000,1000
19,5,-1.179,0.915,685.8,226,1000
